service_type,total_drivers,total_rides,avg_engagement_score,avg_acceptance_rate,avg_completion_rate,avg_cancellation_rate
PHV,5651,1409470,65.02494048624602,54.559798718901305,80.65895569465219,19.444703160910244
TAXI,31321,4545648,61.837737371686856,50.38265590759749,84.22126214735295,15.890791839702226
