year_month,active_drivers,total_offers,total_bookings,total_rides,passenger_cancellations,driver_cancellations,total_cancellations,avg_engagement_score,avg_acceptance_rate,avg_completion_rate,avg_cancellation_rate
2020-01,30600,9850589,2151832,1753435,220684,180880,401564,61.27351244227493,44.03015442791998,83.37580583717576,16.729878943526533
2020-02,31227,8748281,2342735,1904281,245193,197067,442260,61.42275724497701,43.93351145241505,82.95548223951016,17.165877527674567
2020-03,30272,3186154,1108506,912754,119965,77328,197293,63.077552232848234,55.083859222286335,84.04261493737621,16.061558756597965
2020-04,12312,617801,309983,254522,36107,19898,56005,63.83395816227513,64.15263479060914,83.94575323537866,16.173029043343742
2020-05,18165,1357942,568123,470736,61344,36910,98254,64.09551128098042,61.923540546601934,84.85895088181073,15.259602083191869
2020-06,22764,1860911,799126,659390,88462,52346,140808,63.29178203911,59.78640366372269,84.20370091547082,15.894946671341565
